N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,7.989588039,rice
85,58,41,21.77046169,80.31964408,7.038096361,8.923446354,rice
60,55,44,23.00445915,82.3207629,7.840207144,10.39229321,rice
74,35,40,26.49109635,80.15836264,6.980400905,9.56157615,rice
78,42,42,20.13017482,81.60487287,7.628472891,10.34320238,rice
69,37,42,23.05804872,83.37011772,7.073453503,9.88405511,rice
69,55,38,22.70883798,82.63941394,5.70080568,10.68208112,rice
94,53,40,20.27774362,82.89408619,5.718627178,9.526543106,rice
89,54,38,24.51588066,83.5352163,6.685346424,9.072686453,rice
68,58,38,23.22397386,83.03322691,6.336253525,8.709023457,rice
91,53,40,26.52723513,81.41753846,5.386167788,10.41790826,rice
90,46,42,23.97898217,81.45061596,7.50283396,9.845796598,rice
78,58,44,26.80079604,80.88684822,5.108681786,11.1982857,rice
93,56,36,24.01497622,82.05687182,6.98435366,7.294383421,rice
94,50,37,25.66585205,80.66385045,6.94801983,8.251455543,rice
60,48,39,24.28209415,80.30025587,7.042299069,9.097887193,rice
85,38,41,21.58711777,82.7883708,6.249050656,10.89193881,rice
91,35,39,23.79391957,80.41817957,6.970859754,8.120519114,rice
77,38,36,21.8652524,80.1923008,5.953933276,8.840748697,rice
88,35,40,23.57943626,83.58760316,5.85393208,11.46845125,rice
89,45,36,21.32504158,80.47476396,6.442475375,7.303050126,rice
76,40,43,25.15745531,83.11713476,5.070175667,9.109618752,rice
67,59,41,21.94766735,80.97384195,6.012632591,8.399846146,rice
83,41,43,21.0525355,82.67839517,6.254028451,9.177463843,rice
98,47,37,23.48381344,81.33265073,7.375482851,8.821185685,rice
66,53,41,25.0756354,80.52389148,7.778915154,10.11826325,rice
97,59,43,26.35927159,84.04403589,6.286500176,10.68340999,rice
97,50,41,24.52922681,80.54498576,7.070959995,10.24659065,rice
60,49,44,20.77576147,84.49774397,6.244841491,9.452010421,rice
84,51,35,22.30157427,80.64416466,6.043304899,7.794453602,rice
